"","B1_p_val","B1_avg_log2FC","B1_pct.1","B1_pct.2","B1_p_val_adj","B2_p_val","B2_avg_log2FC","B2_pct.1","B2_pct.2","B2_p_val_adj","max_pval","minimump_p_val","cluster"
"DSE",0,0.585344603323986,0.734,0.359,0,0,0.505215600562505,0.687,0.339,0,0,0,0
"GJA1",0,0.890462801027387,0.705,0.301,0,0,0.77848687557351,0.634,0.251,0,0,0,0
"RSPO3",0,0.351163657583295,0.321,0.102,0,0,0.26174795108799,0.315,0.113,0,0,0,0
"EPB41L2",0,0.461544999377275,0.814,0.54,0,0,0.564134723571967,0.802,0.45,0,0,0,0
"RPS12",0,0.431020486745219,1,1,0,0,0.56640898935028,1,0.999,0,0,0,0
"PHACTR2",0,0.397458217273567,0.65,0.414,0,0,0.379216805410554,0.611,0.346,0,0,0,0
"TNRC18",0,0.349031452676677,0.631,0.422,0,0,0.432474122445103,0.713,0.418,0,0,0,0
"TWIST1",0,1.09860568232383,0.884,0.261,0,0,1.36554025013958,0.946,0.239,0,0,0,0
"TRIL",0,0.712410950023195,0.72,0.295,0,0,0.914089320739562,0.754,0.267,0,0,0,0
"TNS3",0,0.435987588508645,0.546,0.25,0,0,0.459610629138925,0.525,0.201,0,0,0,0
"HSPB1",0,0.46545244637956,0.934,0.724,0,0,0.566067620255196,0.941,0.677,0,0,0,0
"SEMA3A",0,0.43859479692323,0.478,0.237,0,0,0.47718348112447,0.555,0.26,0,0,0,0
"COL1A2",0,1.96987839387318,0.911,0.329,0,0,2.07705828324789,0.937,0.305,0,0,0,0
"PCOLCE",0,0.948407270578473,0.819,0.273,0,0,1.02353572159288,0.833,0.252,0,0,0,0
"TRIP6",0,0.312562147456577,0.529,0.293,0,0,0.360110206027176,0.554,0.27,0,0,0,0
"COL26A1",0,0.736949751459252,0.729,0.281,0,0,0.711627439196188,0.714,0.257,0,0,0,0
"LRRC17",0,0.824616638635049,0.704,0.264,0,0,0.707314471825959,0.699,0.268,0,0,0,0
"LAMB1",0,0.544503304554903,0.752,0.366,0,0,0.759456403756486,0.794,0.315,0,0,0,0
"FOXP2",0,0.36698196059886,0.442,0.215,0,0,0.382011381956657,0.425,0.197,0,0,0,0
"TES",0,0.357181426364791,0.578,0.324,0,0,0.412077302142222,0.629,0.312,0,0,0,0
"CPED1",0,0.749657316996218,0.717,0.217,0,0,0.832845044845698,0.757,0.209,0,0,0,0
"CALD1",0,1.47345292449581,0.997,0.836,0,0,1.55845069906281,0.996,0.789,0,0,0,0
"DLC1",0,0.434579269715223,0.608,0.316,0,0,0.458454588243985,0.605,0.271,0,0,0,0
"ADGRA2",0,0.294374923061159,0.396,0.167,0,0,0.337764894727672,0.429,0.15,0,0,0,0
"SFRP1",0,0.35397683386688,0.873,0.557,0,0,0.408483979291644,0.857,0.497,0,0,0,0
"SNAI2",0,0.80710533347031,0.622,0.173,0,0,0.888583152687182,0.698,0.185,0,0,0,0
"RPL7",0,0.291989874941761,0.999,0.998,0,0,0.358287178866126,0.999,0.998,0,0,0,0
"ZFHX4",0,0.434766153659152,0.883,0.734,0,0,0.716322269673613,0.931,0.701,0,0,0,0
"HEY1",0,0.610533448751519,0.697,0.371,0,0,0.376489225717006,0.511,0.278,0,0,0,0
"SDC2",0,0.385452001923185,0.614,0.381,0,0,0.330643768437434,0.551,0.312,0,0,0,0
"TRPS1",0,0.38374599688727,0.568,0.36,0,0,0.461729761048119,0.625,0.353,0,0,0,0
"HAS2",0,0.489009155254935,0.376,0.158,0,0,0.539920171655772,0.371,0.153,0,0,0,0
"SCX",0,0.642810920936891,0.383,0.126,0,0,0.895463291635623,0.575,0.173,0,0,0,0
"BNC2",0,0.557628596806506,0.663,0.277,0,0,0.629109757651591,0.647,0.22,0,0,0,0
"TPM2",0,0.877674565777075,0.723,0.349,0,0,1.22358529249726,0.794,0.326,0,0,0,0
"TLN1",0,0.388862242773522,0.787,0.537,0,0,0.469878822002935,0.793,0.479,0,0,0,0
"S1PR3",0,0.606011597669516,0.567,0.173,0,0,0.690251159396249,0.595,0.162,0,0,0,0
"BARX1",0,0.466255187750475,0.467,0.177,0,0,0.591094666852658,0.569,0.195,0,0,0,0
"PALM2-AKAP2",0,0.391148662128295,0.762,0.558,0,0,0.403431814812892,0.693,0.445,0,0,0,0
"LPAR1",0,0.42212555249868,0.509,0.198,0,0,0.610397157250155,0.603,0.195,0,0,0,0
"TNC",0,0.740645552633935,0.493,0.152,0,0,0.965244599287024,0.656,0.19,0,0,0,0
"RPL12",0,0.361554730580861,1,0.999,0,0,0.382729601756633,1,0.998,0,0,0,0
"PRRX2",0,0.579366896214876,0.529,0.148,0,0,0.871094769163717,0.729,0.188,0,0,0,0
"COL5A1",0,0.407035576535711,0.44,0.185,0,0,0.522624872074961,0.532,0.193,0,0,0,0
"ITGA8",0,0.300600051114558,0.292,0.1,0,0,0.382591488814844,0.356,0.108,0,0,0,0
"PLXDC2",0,0.439835720322906,0.536,0.246,0,0,0.356061630155654,0.477,0.217,0,0,0,0
"DNAJC1",0,0.466039342493837,0.884,0.684,0,0,0.404911257989532,0.827,0.586,0,0,0,0
"BICC1",0,0.310440389353018,0.356,0.14,0,0,0.524329094233542,0.532,0.172,0,0,0,0
"COL13A1",0,0.382514525619134,0.385,0.12,0,0,0.459619747862819,0.439,0.117,0,0,0,0
"VCL",0,0.501764937995847,0.863,0.679,0,0,0.635718071960764,0.881,0.597,0,0,0,0
"PTEN",0,0.423750438970008,0.792,0.605,0,0,0.365097905649932,0.749,0.553,0,0,0,0
"MARVELD1",0,0.267224188020921,0.413,0.197,0,0,0.33249370357646,0.467,0.191,0,0,0,0
"ADD3",0,0.484690693698886,0.767,0.563,0,0,0.412730131499127,0.713,0.493,0,0,0,0
"IFITM2",0,0.352498362951648,0.783,0.506,0,0,0.346606811410178,0.694,0.406,0,0,0,0
"IFITM3",0,0.88403116930427,0.923,0.578,0,0,0.830667470431152,0.885,0.487,0,0,0,0
"CD81",0,0.561312345226731,0.984,0.931,0,0,0.528247398785283,0.985,0.9,0,0,0,0
"RPL27A",0,0.279010958586436,1,0.997,0,0,0.335142486541653,0.999,0.997,0,0,0,0
"PARVA",0,0.393047011562402,0.585,0.318,0,0,0.494001416368777,0.636,0.278,0,0,0,0
"MDK",0,0.728460159314126,0.999,0.963,0,0,0.677638396956362,0.999,0.956,0,0,0,0
"AHNAK",0,0.456752894939918,0.439,0.169,0,0,0.518560870577048,0.506,0.174,0,0,0,0
"SERPINH1",0,0.78406584203707,0.87,0.523,0,0,0.961368206748984,0.899,0.468,0,0,0,0
"AMOTL1",0,0.435260406077927,0.676,0.463,0,0,0.410602805158543,0.648,0.417,0,0,0,0
"THY1",0,0.483556964023429,0.723,0.51,0,0,0.672968089741699,0.776,0.456,0,0,0,0
"MIR100HG",0,0.817065497062712,0.753,0.378,0,0,1.18627564324556,0.903,0.437,0,0,0,0
"CLMP",0,0.506508446244417,0.532,0.181,0,0,0.525273848791589,0.579,0.193,0,0,0,0
"FLI1",0,0.254037684673109,0.343,0.134,0,0,0.330784143170331,0.39,0.124,0,0,0,0
"CACNA1C",0,0.303147074407626,0.375,0.141,0,0,0.376886413165762,0.427,0.142,0,0,0,0
"C12orf57",0,0.358264434004032,0.99,0.958,0,0,0.335324698420016,0.988,0.942,0,0,0,0
"YBX3",0,0.410273177562712,0.84,0.629,0,0,0.568305028809253,0.867,0.592,0,0,0,0
"PRICKLE1",0,0.388809927232303,0.446,0.171,0,0,0.440587525835798,0.451,0.153,0,0,0,0
"COL2A1",0,0.590100938432421,0.853,0.563,0,0,0.61284527126582,0.843,0.526,0,0,0,0
"LIMA1",0,0.818574802408278,0.943,0.587,0,0,0.765258299415075,0.912,0.516,0,0,0,0
"RARG",0,0.308442404794408,0.379,0.137,0,0,0.396622858960676,0.444,0.139,0,0,0,0
"HNRNPA1",0,0.290191173880761,1,0.999,0,0,0.269851156073839,1,0.999,0,0,0,0
"CD63",0,0.471506601273295,0.984,0.96,0,0,0.551300414265356,0.99,0.946,0,0,0,0
"HMGA2",0,0.408731228685636,0.818,0.555,0,0,0.655867037578016,0.883,0.511,0,0,0,0
"LUM",0,1.82319737703,0.953,0.297,0,0,1.69260071875431,0.916,0.252,0,0,0,0
"DCN",0,1.61982575244205,0.923,0.256,0,0,1.51274634875262,0.887,0.224,0,0,0,0
"ELK3",0,0.379825851529838,0.582,0.28,0,0,0.534619764981719,0.664,0.281,0,0,0,0
"GLT8D2",0,0.471021382312541,0.48,0.122,0,0,0.528885547858924,0.532,0.128,0,0,0,0
"TMEM119",0,0.302996457119127,0.31,0.071,0,0,0.330048033131538,0.334,0.067,0,0,0,0
"RFLNA",0,0.403243206439629,0.448,0.189,0,0,0.333869683897204,0.386,0.155,0,0,0,0
"TPT1",0,0.505216350259762,1,1,0,0,0.671810962166477,1,1,0,0,0,0
"KCTD12",0,0.340937856044811,0.556,0.303,0,0,0.334260719776804,0.527,0.251,0,0,0,0
"COL4A1",0,0.711361609448508,0.705,0.46,0,0,0.627605985319358,0.661,0.399,0,0,0,0
"COL4A2",0,0.529027459072193,0.867,0.714,0,0,0.456447761194104,0.838,0.646,0,0,0,0
"ARHGEF40",0,0.438846244519413,0.7,0.456,0,0,0.524125528528454,0.761,0.439,0,0,0,0
"RPS29",0,0.279141333944529,1,1,0,0,0.371458050461607,1,1,0,0,0,0
"FRMD6",0,0.699454332465896,0.749,0.332,0,0,0.705152933729876,0.738,0.28,0,0,0,0
"FERMT2",0,0.37971594244102,0.834,0.662,0,0,0.49149704902331,0.832,0.565,0,0,0,0
"SIX1",0,0.278954551826622,0.372,0.133,0,0,0.551232327369893,0.564,0.179,0,0,0,0
"RHOJ",0,0.352323583113142,0.555,0.278,0,0,0.471893621745286,0.6,0.234,0,0,0,0
"ACTN1",0,0.429698830971359,0.704,0.443,0,0,0.596972214538592,0.776,0.418,0,0,0,0
"FLRT2",0,0.609257695672338,0.516,0.188,0,0,0.492763735089604,0.453,0.156,0,0,0,0
"SERF2",0,0.333153393595812,0.998,0.993,0,0,0.311991677481286,0.998,0.989,0,0,0,0
"B2M",0,0.322105532028431,0.79,0.595,0,0,0.494370225069967,0.808,0.545,0,0,0,0
"FBN1",0,0.392551559271071,0.465,0.199,0,0,0.524483810174612,0.555,0.204,0,0,0,0
"TPM1",0,1.57668033117128,0.981,0.688,0,0,1.63460304651793,0.984,0.641,0,0,0,0
"PPIB",0,0.39410087581079,0.972,0.937,0,0,0.454125327922511,0.972,0.911,0,0,0,0
"RPLP1",0,0.421850083860501,1,1,0,0,0.464788398936112,1,1,0,0,0,0
"LOXL1",0,0.340477710263709,0.544,0.314,0,0,0.307349439667895,0.529,0.279,0,0,0,0
"NME4",0,0.367251390856094,0.972,0.876,0,0,0.413340407844431,0.976,0.844,0,0,0,0
"RPS2",0,0.292705261889746,1,1,0,0,0.305358368960564,1,1,0,0,0,0
"SLC9A3R2",0,0.332544766531639,0.519,0.263,0,0,0.369460724355767,0.549,0.258,0,0,0,0
"VASN",0,0.280000294044443,0.345,0.136,0,0,0.254216601214716,0.325,0.119,0,0,0,0
"SOCS1",0,0.284677309400091,0.334,0.136,0,0,0.294685552531941,0.337,0.129,0,0,0,0
"QPRT",0,0.633575152507252,0.917,0.718,0,0,0.427528241273766,0.866,0.678,0,0,0,0
"MMP2",0,0.508550629619417,0.738,0.414,0,0,0.739393203601611,0.798,0.377,0,0,0,0
"CDH11",0,1.00279096724677,0.828,0.261,0,0,0.9527166886414,0.829,0.25,0,0,0,0
"RPL13",0,0.312174214482854,1,1,0,0,0.351415839483288,1,1,0,0,0,0
"SERPINF1",0,0.631251430460587,0.594,0.189,0,0,0.55882809206488,0.566,0.179,0,0,0,0
"RPL26",0,0.261087900636611,1,0.999,0,0,0.351433646667856,1,0.999,0,0,0,0
"MFAP4",0,0.274433295996799,0.251,0.064,0,0,0.494334385598043,0.451,0.122,0,0,0,0
"RAB34",0,0.515922407256498,0.767,0.451,0,0,0.619121454414245,0.818,0.421,0,0,0,0
"RPL23A",0,0.277172805710365,1,0.999,0,0,0.327055952952053,1,0.998,0,0,0,0
"CCL2",0,0.834082025441103,0.536,0.198,0,0,1.00971301200577,0.625,0.202,0,0,0,0
"RPL19",0,0.329092079924028,1,1,0,0,0.387239397188802,1,0.999,0,0,0,0
"FKBP10",0,0.369132746225899,0.776,0.568,0,0,0.417332690687012,0.795,0.532,0,0,0,0
"COL1A1",0,0.678073848184352,0.546,0.217,0,0,1.12806904771638,0.622,0.213,0,0,0,0
"CACNA1G",0,0.260333929466495,0.327,0.127,0,0,0.293988141205511,0.38,0.142,0,0,0,0
